id,time_stamp,hourly_steps,avg_hourly_mets,avg_hourly_intensity,hourly_calories_burned
1503960366,"2016-04-12 00:00:00",373,17.2333,0.3333,81.32409763336182
1503960366,"2016-04-12 01:00:00",160,12.8333,0.1333,60.56049823760986
1503960366,"2016-04-12 02:00:00",151,12.4667,0.1167,58.83019828796387
1503960366,"2016-04-12 03:00:00",0,10.0000,0.0000,47.189998626708984
1503960366,"2016-04-12 04:00:00",0,10.0667,0.0000,47.50459861755371
1503960366,"2016-04-12 05:00:00",0,10.0667,0.0000,47.50459861755371
1503960366,"2016-04-12 06:00:00",0,10.0667,0.0000,47.50459861755371
1503960366,"2016-04-12 07:00:00",0,10.0333,0.0000,47.34729862213135
1503960366,"2016-04-12 08:00:00",250,14.4333,0.2167,68.1108980178833
1503960366,"2016-04-12 09:00:00",1864,29.8500,0.5000,140.86214590072632
1503960366,"2016-04-12 10:00:00",676,20.9667,0.4833,98.9416971206665
1503960366,"2016-04-12 11:00:00",360,16.1000,0.2000,75.97589778900146
1503960366,"2016-04-12 12:00:00",253,15.4333,0.1833,72.8298978805542
1503960366,"2016-04-12 13:00:00",221,14.0333,0.1000,66.22329807281494
1503960366,"2016-04-12 14:00:00",1166,23.3167,0.6000,110.03134679794312
1503960366,"2016-04-12 15:00:00",2063,31.9167,0.9667,150.61474561691284
1503960366,"2016-04-12 16:00:00",344,16.0000,0.2167,75.50399780273438
1503960366,"2016-04-12 17:00:00",489,17.5000,0.2667,82.58249759674072
1503960366,"2016-04-12 18:00:00",1386,26.2667,0.4833,123.95239639282227
1503960366,"2016-04-12 19:00:00",558,22.0333,0.6500,103.97529697418213
1503960366,"2016-04-12 20:00:00",1733,27.8667,0.6833,131.5027961730957
1503960366,"2016-04-12 21:00:00",684,21.2000,0.5167,100.04279708862305
1503960366,"2016-04-12 22:00:00",89,13.7333,0.1500,64.80759811401367
1503960366,"2016-04-12 23:00:00",338,17.2667,0.3500,81.48139762878418
1503960366,"2016-04-13 00:00:00",144,14.5667,0.2333,68.74009799957275
1503960366,"2016-04-13 01:00:00",0,10.2000,0.0000,48.133798599243164
1503960366,"2016-04-13 02:00:00",0,10.0000,0.0000,47.189998626708984
1503960366,"2016-04-13 03:00:00",36,11.1667,0.0667,52.6954984664917
1503960366,"2016-04-13 04:00:00",0,10.0333,0.0000,47.34729862213135
1503960366,"2016-04-13 05:00:00",0,10.0333,0.0000,47.34729862213135
